                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2016,                  3.525,                 1.4896,                 1.2634,                0.75224,                0.46694,                0.59283,                0.34434,                 0.7242,                0.43914,                 0.5532,                0.24698,                 1.7391,                 2.9107,                0.97485,                 1.1465,             0.00066625,             0.00066625,             0.00066625
                      2,                 1.8972,                 3.1833,                 1.0062,                 1.1675,                0.75851,                0.48119,                0.60849,                0.36248,                0.74319,                0.46531,                0.58294,                0.27193,                 1.6883,                 2.8483,                0.94588,                 1.1236,               0.001113,               0.001113,               0.001113
                      3,                 1.8437,                 3.0939,                0.96037,                 1.1529,                0.77332,                0.49413,                0.62256,                0.38268,                0.75963,                0.47532,                0.59749,                0.28771,                 1.6178,                  2.678,                0.89817,                 1.1065,              0.0013397,              0.0013397,              0.0013397
                      4,                 1.8112,                 2.9933,                 0.9361,                 1.1419,                0.78517,                0.50066,                0.62888,                0.38622,                0.76191,                0.47756,                 0.5945,                0.28187,                 1.5791,                 2.6232,                0.86963,                 1.1001,                0.00101,                0.00101,                0.00101
                      5,                 1.7759,                 2.9459,                0.90532,                 1.1317,                0.79138,                0.49605,                  0.628,                0.38304,                0.77222,                0.47407,                0.59555,                  0.279,                   1.59,                 2.5905,                0.87473,                 1.1003,                0.00068,                0.00068,                0.00068
                      6,                  1.735,                  2.876,                0.88118,                 1.1174,                0.80148,                0.50664,                0.63777,                0.39594,                0.78421,                0.48891,                0.61037,                0.29817,                 1.5636,                  2.558,                0.84706,                 1.0898,                0.00035,                0.00035,                0.00035
