                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7633,                 3.0204,                0.91006,                 1.1796,                0.75758,                0.48605,                0.60785,                0.36213,                 0.7319,                0.46061,                 0.5704,                0.26383,                 1.6904,                 2.9475,                0.90329,                 1.1471,               0.000665,               0.000665,               0.000665
                      2,                 1.6513,                 2.7854,                0.78299,                 1.1116,                0.83494,                0.51253,                 0.6496,                0.40848,                 0.8222,                0.49933,                0.63058,                 0.3263,                 1.5595,                 2.5988,                0.77426,                 1.1159,              0.0012789,              0.0012789,              0.0012789
                      3,                 1.6039,                 2.7013,                0.75463,                 1.0947,                0.78663,                0.48769,                0.62152,                0.35976,                0.76283,                0.46799,                0.58849,                0.26903,                 1.7813,                  2.847,                0.92482,                 1.1758,              0.0018401,              0.0018401,              0.0018401
                      4,                 1.5887,                 2.6588,                0.74565,                 1.0911,                 0.8067,                0.50297,                0.63525,                0.38849,                0.79288,                0.48939,                0.61174,                0.28957,                 1.6728,                 2.7637,                0.87823,                 1.1435,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.5736,                 2.6205,                0.72701,                 1.0792,                0.85014,                0.53469,                0.66683,                0.42601,                0.84102,                0.52314,                0.64859,                0.33452,                 1.5219,                 2.4777,                0.73369,                 1.0866,              0.0016832,              0.0016832,              0.0016832
                      6,                 1.5548,                 2.5712,                0.72401,                  1.077,                0.84465,                 0.5259,                0.66159,                0.42527,                0.82687,                0.50827,                0.63662,                 0.3144,                 1.5005,                 2.5112,                0.74318,                 1.0827,               0.001604,               0.001604,               0.001604
                      7,                 1.5193,                  2.552,                0.70666,                 1.0706,                0.85419,                0.53905,                0.67145,                0.43091,                0.83766,                0.52421,                0.64699,                 0.3186,                 1.4745,                 2.4339,                 0.7026,                  1.072,              0.0015248,              0.0015248,              0.0015248
                      8,                 1.5064,                 2.5256,                0.69525,                  1.061,                0.85328,                 0.5367,                0.67158,                0.42785,                0.83069,                 0.5193,                0.64079,                 0.3143,                 1.4775,                 2.4415,                0.70456,                 1.0681,              0.0014456,              0.0014456,              0.0014456
                      9,                 1.4857,                 2.4972,                0.68814,                  1.055,                 0.8576,                0.53396,                0.66903,                0.42919,                0.83857,                0.51726,                0.64007,                0.31141,                 1.4733,                 2.4398,                0.71848,                 1.0741,              0.0013664,              0.0013664,              0.0013664
                     10,                 1.4958,                 2.4867,                0.68783,                 1.0581,                0.85437,                0.53169,                0.66848,                0.43482,                0.83376,                0.51438,                0.63825,                0.31156,                 1.4459,                 2.3978,                0.69909,                 1.0644,              0.0012872,              0.0012872,              0.0012872
                     11,                  1.486,                 2.4996,                0.68211,                 1.0549,                0.85662,                 0.5371,                0.67464,                0.43825,                0.84151,                0.52417,                0.65276,                0.33222,                 1.4476,                 2.3421,                0.69409,                 1.0596,               0.001208,               0.001208,               0.001208
                     12,                 1.4616,                 2.4377,                0.67084,                 1.0458,                0.86337,                 0.5399,                0.67639,                0.44248,                 0.8445,                0.52328,                0.65022,                0.32682,                 1.4373,                  2.384,                0.68496,                 1.0571,              0.0011288,              0.0011288,              0.0011288
                     13,                 1.4545,                 2.4411,                0.66688,                 1.0447,                0.86098,                 0.5406,                0.67553,                0.44196,                0.84782,                0.52799,                0.65373,                0.33445,                 1.4288,                 2.3169,                0.67797,                 1.0538,              0.0010496,              0.0010496,              0.0010496
                     14,                  1.449,                 2.4479,                0.66204,                 1.0427,                0.86536,                0.54139,                0.67893,                 0.4482,                 0.8478,                0.52611,                0.65349,                0.33592,                  1.411,                 2.3058,                0.67165,                 1.0481,              0.0009704,              0.0009704,              0.0009704
                     15,                 1.4321,                 2.3835,                0.65893,                 1.0411,                0.85739,                0.53726,                0.67259,                0.43885,                0.83943,                0.52286,                0.64788,                0.32789,                 1.4217,                 2.3554,                  0.684,                 1.0514,              0.0008912,              0.0008912,              0.0008912
                     16,                 1.4196,                  2.399,                0.67326,                 1.0573,                0.84806,                0.53683,                0.67129,                0.44902,                0.82924,                0.52171,                0.64485,                0.32262,                 1.3936,                 2.2945,                0.68949,                 1.0516,               0.000812,               0.000812,               0.000812
                     17,                 1.4174,                 2.3898,                0.66999,                 1.0564,                0.85813,                0.53976,                 0.6756,                0.45402,                0.83568,                0.52049,                0.64576,                0.32736,                 1.3713,                 2.2772,                0.67626,                 1.0432,              0.0007328,              0.0007328,              0.0007328
                     18,                 1.4072,                 2.3794,                0.66328,                 1.0536,                0.86976,                0.54441,                0.68134,                0.45941,                0.85093,                0.52824,                0.65338,                0.32804,                 1.3655,                 2.2456,                0.65699,                 1.0416,              0.0006536,              0.0006536,              0.0006536
                     19,                  1.395,                 2.3747,                0.65454,                 1.0487,                0.86597,                0.53904,                0.67869,                0.45812,                0.84851,                0.52422,                0.65285,                0.33586,                 1.3531,                 2.2333,                0.66242,                 1.0394,              0.0005744,              0.0005744,              0.0005744
                     20,                 1.3863,                 2.3536,                 0.6513,                 1.0498,                0.87025,                0.54378,                0.68281,                0.46234,                0.84992,                0.52718,                  0.654,                0.32773,                 1.3451,                 2.2161,                0.64674,                 1.0351,              0.0004952,              0.0004952,              0.0004952
                     21,                 1.3783,                 2.3323,                 0.6455,                 1.0454,                0.87059,                0.54291,                0.68147,                0.46596,                0.85135,                0.52701,                0.65541,                0.33873,                  1.339,                 2.2128,                0.64368,                  1.034,               0.000416,               0.000416,               0.000416
                     22,                 1.3763,                 2.3362,                 0.6427,                 1.0427,                0.87233,                0.54374,                0.68189,                0.46724,                0.85674,                0.52967,                0.65961,                0.34434,                 1.3353,                 2.1906,                0.64467,                 1.0322,              0.0003368,              0.0003368,              0.0003368
                     23,                 1.3662,                 2.3134,                 0.6376,                 1.0423,                0.87603,                0.54576,                0.68423,                0.46735,                 0.8585,                0.53114,                0.65919,                0.33755,                 1.3306,                 2.1885,                0.63745,                 1.0319,              0.0002576,              0.0002576,              0.0002576
                     24,                 1.3594,                 2.3093,                0.63255,                 1.0373,                0.87215,                 0.5467,                0.68371,                0.46871,                0.85488,                 0.5313,                0.65934,                0.33987,                 1.3259,                 2.1879,                0.63715,                 1.0283,              0.0001784,              0.0001784,              0.0001784
                     25,                 1.3582,                 2.2819,                 0.6293,                 1.0377,                0.87194,                0.54464,                0.68281,                0.46911,                0.85527,                0.52947,                0.65927,                0.34244,                 1.3226,                 2.1821,                0.64147,                 1.0266,               9.92e-05,               9.92e-05,               9.92e-05
